"","word"
"1","shebang"
"2","slashdot"
"3","1gl"
"4","first"
"5","generation"
"6","programming"
"7","language"
"8","1nf"
"9","normal"
"10","form"
"11","10b2"
"12","10base"
"13","2"
"14","10b5"
"15","5"
"16","10b"
"17","f"
"18","fb"
"19","fl"
"20","fp"
"21","t"
"22","100b"
"23","fx"
"24","100base"
"25","tx"
"26","100bvg"
"27","vg"
"28","286"
"29","intel"
"30","80286"
"31","processor"
"32","2b1q"
"33","binary"
"34","1"
"35","quaternary"
"36","2fa"
"37","two"
"38","factor"
"39","authentication"
"40","2gl"
"41","second"
"42","2nf"
"43","3gl"
"44","third"
"45","3gpp"
"46","3rd"
"47","partnership"
"48","project"
"49","3g"
"50","comms"
"51","3gpp2"
"52","3nf"
"53","386"
"54","80386"
"55","486"
"56","80486"
"57","4b5blf"
"58","4"
"59","byte"
"60","local"
"61","fiber"
"62","4gl"
"63","fourth"
"64","4nf"
"65","5gl"
"66","fifth"
"67","5nf"
"68","6nf"
"69","sixth"
"70","8b10blf"
"71","8"
"72","10"
"73","802.11"
"74","wireless"
"75","lan"
"76","aaa"
"77","authorization"
"78","accounting"
"79","aabb"
"80","axis"
"81","aligned"
"82","bounding"
"83","box"
"84","aac"
"85","advanced"
"86","audio"
"87","coding"
"88","aal"
"89","atm"
"90","adaptation"
"91","layer"
"92","aalc"
"93","connection"
"94","aarp"
"95","appletalk"
"96","address"
"97","resolution"
"98","protocol"
"99","abac"
"100","attribute"
"101","based"
"102","access"
"103","control"
"104","abcl"
"105","actor"
"106","concurrent"
"107","abi"
"108","application"
"109","interface"
"110","abm"
"111","asynchronous"
"112","balanced"
"113","mode"
"114","abr"
"115","area"
"116","border"
"117","router"
"118","auto"
"119","baud"
"120","rate"
"121","detection"
"122","available"
"123","bitrate"
"124","average"
"125","ac"
"126","acoustic"
"127","coupler"
"128","alternating"
"129","current"
"130","acd"
"131","automatic"
"132","call"
"133","distributor"
"134","ace"
"135","computing"
"136","environment"
"137","acid"
"138","atomicity"
"139","consistency"
"140","isolation"
"141","durability"
"142","ack"
"143","acknowledgement"
"144","amsterdam"
"145","compiler"
"146","kit"
"147","acl"
"148","list"
"149","active"
"150","loop"
"151","acm"
"152","association"
"153","for"
"154","machinery"
"155","acme"
"156","automated"
"157","classification"
"158","of"
"159","medical"
"160","entities"
"161","acp"
"162","airline"
"163","program"
"164","acpi"
"165","configuration"
"166","and"
"167","power"
"168","acr"
"169","allowed"
"170","cell"
"171","attenuation"
"172","to"
"173","crosstalk"
"174","ratio"
"175","ad"
"176","directory"
"177","administrative"
"178","domain"
"179","adc"
"180","analog"
"181","digital"
"182","converter"
"183","apple"
"184","display"
"185","connector"
"186","adb"
"187","desktop"
"188","bus"
"189","adccp"
"190","data"
"191","communications"
"192","procedures"
"193","ado"
"194","activex"
"195","objects"
"196","adsl"
"197","asymmetric"
"198","subscriber"
"199","line"
"200","adt"
"201","abstract"
"202","type"
"203","ae"
"204","adaptive"
"205","equalizer"
"206","aes"
"207","encryption"
"208","standard"
"209","af"
"210","anisotropic"
"211","filtering"
"212","afp"
"213","filing"
"214","agp"
"215","accelerated"
"216","graphics"
"217","port"
"218","ah"
"219","hub"
"220","ai"
"221","artificial"
"222","intelligence"
"223","aix"
"224","interactive"
"225","executive"
"226","ajax"
"227","javascript"
"228","xml"
"229","al"
"230","link"
"231","alac"
"232","lossless"
"233","codec"
"234","algol"
"235","algorithmic"
"236","alsa"
"237","linux"
"238","sound"
"239","architecture"
"240","alu"
"241","arithmetic"
"242","logical"
"243","unit"
"244","am"
"245","method"
"246","matrix"
"247","amoled"
"248","organic"
"249","light"
"250","emitting"
"251","diode"
"252","monitor"
"253","allied"
"254","mastercomputer"
"255","amplitude"
"256","modulation"
"257","amd"
"258","micro"
"259","devices"
"260","amqp"
"261","message"
"262","queuing"
"263","amr"
"264","modem"
"265","riser"
"266","ann"
"267","neural"
"268","network"
"269","ansi"
"270","american"
"271","national"
"272","standards"
"273","institute"
