"topic","gamma","rank","check_one","check_two","doc_id"
13,0.386519220642443,1,1.36026686434396,4.23547880690738,"ag_sub_010"
2,0.216524216524217,1,1.1111671288127,1.01613729508197,"ag_sub_013"
13,0.262823115441873,1,1.96558704453441,1.03781512605042,"ag_sub_024"
1,0.382294629773295,1,1.43760129659643,2.06769436997319,"ag_sub_027"
13,0.38003742084053,1,1.07709565572099,6.35103626943005,"ag_sub_028"
13,0.296424785583502,1,1.03638814016173,2.8984375,"ag_sub_031"
13,0.423266138708903,1,1.31881484250865,5.33615960099751,"ag_sub_033"
13,0.426341620403894,1,1.27226890756303,8.15068493150685,"ag_sub_036"
13,0.401757689893283,1,2.10229938995777,1.79679595278246,"ag_sub_039"
13,0.461629133320926,1,1.52886788576125,7.32981927710844,"ag_sub_040"
13,0.369847248378322,1,1.29297732260424,3.62599469496021,"ag_sub_041"
13,0.453045586050512,1,1.61843575418994,6.0472972972973,"ag_sub_043"
2,0.262740361845221,1,1.0520576521904,1.11515279687004,"ag_sub_045"
2,0.379188712522046,1,1.24493341053851,5.66229508196721,"ag_sub_048"
13,0.395170585523283,1,1.09799839871898,9.39097744360902,"ag_sub_055"
13,0.454528158295282,1,1.52165605095541,3.88133498145859,"ag_sub_056"
13,0.402532548599964,1,1.67433234421365,5.2046332046332,"ag_sub_058"
13,0.461802339542383,1,1.37003867290861,10.0367722165475,"ag_sub_061"
2,0.280652798917639,1,1.65536159600998,1.48738872403561,"ag_sub_063"
13,0.52430113609579,1,1.68642911296437,11.3121783876501,"ag_sub_065"
13,0.463948542379915,1,1.64593301435407,6.3704572098476,"ag_sub_072"
13,0.447355652595827,1,1.35511588468061,8.79224652087475,"ag_sub_074"
13,0.278739997974273,1,1.25949656750572,2.29516806722689,"ag_sub_076"
2,0.337576772752652,1,1.60797872340426,1.85862580326248,"ag_sub_081"
13,0.349823536570525,1,1.04242973708069,3.76450511945393,"ag_sub_082"
12,0.618732567944477,1,4.51229895931883,1.90364700585322,"ag_sub_083"
18,0.52415895102708,1,2.34183155591294,2.89074765642863,"ag_sub_085"
13,0.425966009299343,1,1.26181429589171,7.74793008279669,"ag_sub_088"
13,0.426004460779694,1,1.2114525638735,6.32072275550536,"ag_sub_090"
4,0.579435477356082,1,3.82131060202451,1.90018222312209,"ag_sub_091"
13,0.510703929915479,1,2.32397529477821,4.45807259073842,"ag_sub_094"
13,0.365015618027666,1,1.80374862183021,1.16133162612036,"ag_sub_106"
2,0.204410943606923,1,1.07392197125257,1.02711660138596,"ag_sub_114"
3,0.486566658191372,1,1.64239736804463,4.07163657542225,"da_sub_012"
3,0.544476428068829,1,1.95664567146338,5.36135075178704,"da_sub_020"
7,0.30718954248366,1,1.13595166163142,1.1834107972828,"da_sub_035"
